title,price,rating,review,availability,link
"Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light - Without Lockscreen Ads - Black",$159.99,4.6 out of 5 stars,"33,377 ratings",,https://www.amazon.com/All-new-Kindle-Paperwhite-GB-adjustable/dp/B09RD7XM9X/ref=sr_1_1?crid=3THZ52TK2G2HA&keywords=kindle+paperwhite&qid=1688857704&sprefix=kind%2Caps%2C86&sr=8-1
"Kindle Paperwhite Essentials Bundle including Kindle Paperwhite (16 GB) - Agave Green, Fabric Cover - Agave Green, and Power Adapter",$204.97,4.6 out of 5 stars,"1,914 ratings",,https://www.amazon.com/Kindle-Paperwhite-Essentials-Bundle-including/dp/B0BN4WSB9K/ref=sr_1_2?crid=3THZ52TK2G2HA&keywords=kindle+paperwhite&qid=1688857704&sprefix=kind%2Caps%2C86&sr=8-2
"Kindle Paperwhite Signature Edition Essentials Bundle including Kindle Paperwhite Signature Edition (32 GB), Fabric Cover - Black, and Wireless Charging Dock",$162.97,4.6 out of 5 stars,"1,527 ratings",In Stock.,https://www.amazon.com/Kindle-Paperwhite-Signature-Essentials-including/dp/B09FNJZD68/ref=sr_1_3?crid=3THZ52TK2G2HA&keywords=kindle+paperwhite&qid=1688857704&sprefix=kind%2Caps%2C86&sr=8-3
"Kindle Paperwhite Signature Edition (32 GB) – With a 6.8"" display, wireless charging, and auto-adjusting front light – Without Lockscreen Ads – Denim",$159.99,4.6 out of 5 stars,"17,151 ratings",Only 13 left in stock - order soon,https://www.amazon.com/Kindle-Paperwhite-Signature-auto-adjusting-Lockscreen/dp/B095J3TKSP/ref=sxin_17_aspa_sqa?c_c=-561234020&content-id=amzn1.sym.06eb0b68-1fde-4ec4-baf4-bc246a3109f1%3Aamzn1.sym.06eb0b68-1fde-4ec4-baf4-bc246a3109f1&crid=3THZ52TK2G2HA&cv_ct_cx=kindle+paperwhite&keywords=kindle+paperwhite&pd_rd_i=B095J3TKSP&pd_rd_r=8d72c57f-bb1f-4e87-9287-0320d289b32d&pd_rd_w=pUmit&pd_rd_wg=L4T0G&pf_rd_p=06eb0b68-1fde-4ec4-baf4-bc246a3109f1&pf_rd_r=CV00AJ9XFB4EK4G2AGPC&qid=1688857704&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=kind%2Caps%2C86&sr=1-1-ccd52bc1-013f-4ebc-b107-a95266a66d0b
"Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light – Black",$139.99,4.6 out of 5 stars,"33,377 ratings",,https://www.amazon.com/Kindle-Paperwhite-adjustable-Ad-Supported/dp/B08KTZ8249/ref=sxin_17_aspa_sqa?c_c=-720245514&content-id=amzn1.sym.06eb0b68-1fde-4ec4-baf4-bc246a3109f1%3Aamzn1.sym.06eb0b68-1fde-4ec4-baf4-bc246a3109f1&crid=3THZ52TK2G2HA&cv_ct_cx=kindle+paperwhite&keywords=kindle+paperwhite&pd_rd_i=B08KTZ8249&pd_rd_r=8d72c57f-bb1f-4e87-9287-0320d289b32d&pd_rd_w=pUmit&pd_rd_wg=L4T0G&pf_rd_p=06eb0b68-1fde-4ec4-baf4-bc246a3109f1&pf_rd_r=CV00AJ9XFB4EK4G2AGPC&qid=1688857704&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=kind%2Caps%2C86&sr=1-2-ccd52bc1-013f-4ebc-b107-a95266a66d0b
"CoBak Clear Case for All-New Kindle Paperwhite 11th Gen 2021 & Signature Edition(6.8"") - Lightweight, Scratch-Proof Silicone Back Cover with Playful Flower Design",$13.99,4.8 out of 5 stars,322 ratings,Only 1 left in stock - order soon,https://www.amazon.com/CoBak-All-New-Kindle-Paperwhite-Signature/dp/B0C7VMV44Q/ref=sxin_17_aspa_sqa?c_c=-561234020&content-id=amzn1.sym.06eb0b68-1fde-4ec4-baf4-bc246a3109f1%3Aamzn1.sym.06eb0b68-1fde-4ec4-baf4-bc246a3109f1&crid=3THZ52TK2G2HA&cv_ct_cx=kindle+paperwhite&keywords=kindle+paperwhite&pd_rd_i=B0C7VMV44Q&pd_rd_r=8d72c57f-bb1f-4e87-9287-0320d289b32d&pd_rd_w=pUmit&pd_rd_wg=L4T0G&pf_rd_p=06eb0b68-1fde-4ec4-baf4-bc246a3109f1&pf_rd_r=CV00AJ9XFB4EK4G2AGPC&qid=1688857704&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=kind%2Caps%2C86&sr=1-6-ccd52bc1-013f-4ebc-b107-a95266a66d0b
"International Version – Kindle Paperwhite Signature Edition (32 GB) – With a 6.8"" display, wireless charging, and auto-adjusting front light – Without Lockscreen Ads – Black",,4.6 out of 5 stars,86 ratings,Temporarily out of stock.,https://www.amazon.com/International-Version-Introducing-Paperwhite-auto-adjusting/dp/B08N2ZL7PS/ref=sxin_17_aspa_sqa?c_c=-561234020&content-id=amzn1.sym.06eb0b68-1fde-4ec4-baf4-bc246a3109f1%3Aamzn1.sym.06eb0b68-1fde-4ec4-baf4-bc246a3109f1&crid=3THZ52TK2G2HA&cv_ct_cx=kindle+paperwhite&keywords=kindle+paperwhite&pd_rd_i=B08N2ZL7PS&pd_rd_r=8d72c57f-bb1f-4e87-9287-0320d289b32d&pd_rd_w=pUmit&pd_rd_wg=L4T0G&pf_rd_p=06eb0b68-1fde-4ec4-baf4-bc246a3109f1&pf_rd_r=CV00AJ9XFB4EK4G2AGPC&qid=1688857704&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=kind%2Caps%2C86&sr=1-8-ccd52bc1-013f-4ebc-b107-a95266a66d0b
"Kindle Paperwhite (8 GB) – Now with a 6.8"" display and adjustable warm light – Black",$139.99,4.6 out of 5 stars,"33,377 ratings",,https://www.amazon.com/Kindle-Paperwhite-adjustable-Ad-Supported/dp/B08KTZ8249/ref=sxin_17_aspa_sqa?c_c=-720245514&content-id=amzn1.sym.06eb0b68-1fde-4ec4-baf4-bc246a3109f1%3Aamzn1.sym.06eb0b68-1fde-4ec4-baf4-bc246a3109f1&crid=3THZ52TK2G2HA&cv_ct_cx=kindle+paperwhite&keywords=kindle+paperwhite&pd_rd_i=B08KTZ8249&pd_rd_r=8d72c57f-bb1f-4e87-9287-0320d289b32d&pd_rd_w=pUmit&pd_rd_wg=L4T0G&pf_rd_p=06eb0b68-1fde-4ec4-baf4-bc246a3109f1&pf_rd_r=CV00AJ9XFB4EK4G2AGPC&qid=1688857704&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=kind%2Caps%2C86&sr=1-2-ccd52bc1-013f-4ebc-b107-a95266a66d0b
"Kindle Paperwhite Signature Edition (32 GB) – With a 6.8"" display, wireless charging, and auto-adjusting front light – Without Lockscreen Ads – Black",$106.25,4.6 out of 5 stars,"17,151 ratings",Only 1 left in stock - order soon,https://www.amazon.com/kindle-paperwhite-Signature-Edition/dp/B08B495319/ref=sxin_17_aspa_sqa?c_c=-720245514&content-id=amzn1.sym.06eb0b68-1fde-4ec4-baf4-bc246a3109f1%3Aamzn1.sym.06eb0b68-1fde-4ec4-baf4-bc246a3109f1&crid=3THZ52TK2G2HA&cv_ct_cx=kindle+paperwhite&keywords=kindle+paperwhite&pd_rd_i=B08B495319&pd_rd_r=8d72c57f-bb1f-4e87-9287-0320d289b32d&pd_rd_w=pUmit&pd_rd_wg=L4T0G&pf_rd_p=06eb0b68-1fde-4ec4-baf4-bc246a3109f1&pf_rd_r=CV00AJ9XFB4EK4G2AGPC&qid=1688857704&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=kind%2Caps%2C86&sr=1-4-ccd52bc1-013f-4ebc-b107-a95266a66d0b
Kindle Paperwhite – (Previous Generation - 2018 Release) Waterproof with 2X The Storage – Ad-Supported (Used Condition),$89.99,4.3 out of 5 stars,636 ratings,,https://www.amazon.com/Kindle-Paperwhite-Generation-Waterproof-Ad-Supported/dp/B09V8F3P91/ref=sxin_17_aspa_sqa?c_c=-720245514&content-id=amzn1.sym.06eb0b68-1fde-4ec4-baf4-bc246a3109f1%3Aamzn1.sym.06eb0b68-1fde-4ec4-baf4-bc246a3109f1&crid=3THZ52TK2G2HA&cv_ct_cx=kindle+paperwhite&keywords=kindle+paperwhite&pd_rd_i=B09V8F3P91&pd_rd_r=8d72c57f-bb1f-4e87-9287-0320d289b32d&pd_rd_w=pUmit&pd_rd_wg=L4T0G&pf_rd_p=06eb0b68-1fde-4ec4-baf4-bc246a3109f1&pf_rd_r=CV00AJ9XFB4EK4G2AGPC&qid=1688857704&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=kind%2Caps%2C86&sr=1-5-ccd52bc1-013f-4ebc-b107-a95266a66d0b
